codon_index,identity_pos1,identity_pos2,identity_pos3,identity_codon_total,gc_pos1,gc_pos2,gc_pos3,identity_global
1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8440084954169462
2,0.5,0.5,1.0,0.6666666666666666,0.25,0.25,0.5,0.8440084954169462
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.25,0.8440084954169462
4,1.0,0.6666666666666666,1.0,0.8888888888888888,0.0,0.25,0.75,0.8440084954169462
5,1.0,1.0,0.5,0.8333333333333334,0.0,1.0,0.75,0.8440084954169462
6,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.8440084954169462
7,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555555,0.25,0.5,0.5,0.8440084954169462
8,1.0,1.0,1.0,1.0,0.25,0.0,0.25,0.8440084954169462
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.25,0.5,0.8440084954169462
10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8440084954169462
11,0.6666666666666666,1.0,0.6666666666666666,0.7777777777777777,0.25,0.0,0.25,0.8440084954169462
12,0.75,0.5,0.75,0.6666666666666666,0.25,0.5,0.75,0.8440084954169462
13,0.25,0.75,0.75,0.5833333333333334,0.5,1.0,0.75,0.8440084954169462
14,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.8440084954169462
15,0.75,0.75,0.5,0.6666666666666666,0.25,0.25,0.75,0.8440084954169462
16,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.8440084954169462
17,1.0,0.5,0.5,0.6666666666666666,0.5,0.25,0.5,0.8440084954169462
18,1.0,1.0,1.0,1.0,0.25,0.0,0.0,0.8440084954169462
19,0.5,0.75,0.5,0.5833333333333334,0.5,0.0,0.5,0.8440084954169462
20,0.5,0.75,0.75,0.6666666666666666,0.25,0.25,0.75,0.8440084954169462
21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8440084954169462
22,0.5,1.0,0.5,0.6666666666666666,0.25,0.0,0.25,0.8440084954169462
23,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.8440084954169462
24,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5,0.25,0.5,0.8440084954169462
25,1.0,1.0,1.0,1.0,0.25,0.0,0.25,0.8440084954169462
26,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.5,0.8440084954169462
27,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.8440084954169462
28,0.5,1.0,0.5,0.6666666666666666,0.25,0.5,0.5,0.8440084954169462
29,1.0,1.0,1.0,1.0,0.25,0.0,0.25,0.8440084954169462
30,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.25,0.25,0.5,0.8440084954169462
31,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8440084954169462
32,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.0,0.5,0.5,0.8440084954169462
33,0.5,0.5,0.5,0.5,0.0,0.75,0.75,0.8440084954169462
34,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.8440084954169462
35,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555555,0.75,0.5,0.25,0.8440084954169462
36,1.0,1.0,1.0,1.0,0.25,0.0,0.25,0.8440084954169462
37,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.25,0.25,0.0,0.8440084954169462
38,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555555,0.25,0.5,0.75,0.8440084954169462
39,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.8440084954169462
